cue,related,oughta be related?,notes
animal,vulture,related,feedback: 1 up / 0 down
animal,wheeled,unrelated,feedback: 0 up / 1 down
animal,whistle,unrelated,feedback: 0 up / 1 down
animal,whiter,unrelated,feedback: 0 up / 1 down
animal,wiener,unrelated,feedback: 0 up / 1 down
animal,wight,unrelated,feedback: 0 up / 1 down
animal,wolverine,related,feedback: 1 up / 0 down
animal,word,unrelated,feedback: 0 up / 1 down
animal,young,related,feedback: 1 up / 0 down
animal,zoologists,related,feedback: 1 up / 0 down
animal,zoology,related,feedback: 1 up / 0 down
animal,zoos,related,feedback: 1 up / 0 down
heist,defrauded,related,feedback: 1 up / 0 down
heist,defrauder,related,feedback: 1 up / 0 down
heist,desecrated,unrelated,feedback: 0 up / 1 down
heist,evaded,related,feedback: 1 up / 0 down
heist,gang,related,feedback: 1 up / 0 down
heist,grab,related,feedback: 1 up / 0 down
heist,guile,related,feedback: 1 up / 0 down
heist,masqueraded,related,feedback: 1 up / 0 down
heist,nab,related,feedback: 1 up / 0 down
heist,plotted,related,feedback: 1 up / 0 down
heist,raided,related,feedback: 1 up / 0 down
heist,ruse,related,feedback: 1 up / 0 down
heist,slaughter,unrelated,feedback: 0 up / 1 down
heist,subversion,related,feedback: 1 up / 0 down
heist,switcheroo,related,feedback: 1 up / 0 down
heist,switcheroos,related,feedback: 1 up / 0 down
categorization,abnormalities,related,feedback: 1 up / 0 down
math,add,related,feedback: 1 up / 0 down
math,adele,unrelated,feedback: 0 up / 1 down
math,affine,related,feedback: 1 up / 0 down
math,algebraic,related,feedback: 1 up / 0 down
math,allocation,unrelated,feedback: 0 up / 1 down
math,alphabetic,unrelated,feedback: 0 up / 1 down
math,anthropology,unrelated,feedback: 0 up / 1 down
math,antimatter,unrelated,feedback: 0 up / 1 down
math,approximation,related,feedback: 1 up / 0 down
math,archaeology,unrelated,feedback: 0 up / 1 down
math,arithmetic,related,feedback: 1 up / 0 down
math,array,related,feedback: 1 up / 0 down
math,articulation,unrelated,feedback: 0 up / 1 down
math,ass,unrelated,feedback: 0 up / 1 down
math,astrology,unrelated,feedback: 0 up / 1 down
math,astronomy,related,feedback: 1 up / 0 down
math,axiomatic,related,feedback: 1 up / 0 down
math,ballets,unrelated,feedback: 0 up / 1 down
math,beat,unrelated,feedback: 0 up / 1 down
math,biz,unrelated,feedback: 0 up / 1 down
math,book,related,feedback: 1 up / 0 down
math,braille,unrelated,feedback: 0 up / 1 down
math,brain,related,feedback: 1 up / 0 down
math,calculation,related,feedback: 1 up / 0 down
math,categorical,related,feedback: 1 up / 0 down
math,chord,related,feedback: 1 up / 0 down
math,cognition,related,feedback: 1 up / 0 down
math,collocation,unrelated,feedback: 0 up / 1 down
math,commutation,related,feedback: 1 up / 0 down
math,commute,related,feedback: 1 up / 0 down
math,computation,related,feedback: 1 up / 0 down
math,compute,related,feedback: 1 up / 0 down
math,concrete,unrelated,feedback: 0 up / 1 down
math,conic,related,feedback: 1 up / 0 down
math,conjecture,related,feedback: 1 up / 0 down
math,conjugation,unrelated,feedback: 0 up / 1 down
math,conjunct,related,feedback: 1 up / 0 down
math,conjunctions,related,feedback: 1 up / 0 down
math,conjuration,unrelated,feedback: 0 up / 1 down
math,conservation,unrelated,feedback: 0 up / 1 down
math,construction,related,feedback: 1 up / 0 down
math,construe,unrelated,feedback: 0 up / 1 down
math,cosmetology,unrelated,feedback: 0 up / 1 down
math,cosmology,related,feedback: 1 up / 0 down
math,course,related,feedback: 1 up / 0 down
math,crams,related,feedback: 1 up / 0 down
math,criminology,unrelated,feedback: 0 up / 1 down
math,curricular,related,feedback: 1 up / 0 down
math,debt,unrelated,feedback: 0 up / 1 down
math,decimal,related,feedback: 1 up / 0 down
math,declension,unrelated,feedback: 0 up / 1 down
math,deduction,related,feedback: 1 up / 0 down
math,derivation,related,feedback: 1 up / 0 down
math,differential,related,feedback: 1 up / 0 down
math,differentiation,related,feedback: 1 up / 0 down
math,dilatation,unrelated,feedback: 0 up / 1 down
math,dilation,unrelated,feedback: 0 up / 1 down
math,dimension,related,feedback: 1 up / 0 down
math,discrete,related,feedback: 1 up / 0 down
math,disjunct,related,feedback: 1 up / 0 down
math,disjunctions,related,feedback: 1 up / 0 down
math,divide,related,feedback: 1 up / 0 down
math,divided,related,feedback: 1 up / 0 down
math,divides,related,feedback: 1 up / 0 down
math,division,related,feedback: 1 up / 0 down
math,domain,related,feedback: 1 up / 0 down
math,dot,related,feedback: 1 up / 0 down
math,dough,unrelated,feedback: 0 up / 1 down
math,draw,unrelated,feedback: 0 up / 1 down
math,ecology,unrelated,feedback: 0 up / 1 down
math,education,related,feedback: 1 up / 0 down
math,ell,unrelated,feedback: 0 up / 1 down
math,engineer,related,feedback: 1 up / 0 down
math,entomology,unrelated,feedback: 0 up / 1 down
math,essay,unrelated,feedback: 0 up / 1 down
math,etymology,unrelated,feedback: 0 up / 1 down
math,evaluation,related,feedback: 1 up / 0 down
math,examination,related,feedback: 1 up / 0 down
math,exams,related,feedback: 1 up / 0 down
math,expectation,unrelated,feedback: 0 up / 1 down
math,experiential,unrelated,feedback: 0 up / 1 down
math,explication,unrelated,feedback: 0 up / 1 down
math,exploration,unrelated,feedback: 0 up / 1 down
math,exponential,related,feedback: 1 up / 0 down
math,exponents,related,feedback: 1 up / 0 down
math,flunked,related,feedback: 1 up / 0 down
math,formation,unrelated,feedback: 0 up / 1 down
math,formulaic,related,feedback: 1 up / 0 down
math,formulation,related,feedback: 1 up / 0 down
math,fourths,related,feedback: 1 up / 0 down
math,functions,related,feedback: 1 up / 0 down
math,gradation,unrelated,feedback: 0 up / 1 down
math,grammatical,unrelated,feedback: 0 up / 1 down
math,graphology,unrelated,feedback: 0 up / 1 down
math,gym,unrelated,feedback: 0 up / 1 down
math,harmonic,related,feedback: 1 up / 0 down
math,illustration,unrelated,feedback: 0 up / 1 down
math,induction,related,feedback: 1 up / 0 down
math,infer,related,feedback: 1 up / 0 down
math,inferential,related,feedback: 1 up / 0 down
math,inferred,related,feedback: 1 up / 0 down
math,inferring,related,feedback: 1 up / 0 down
math,infinitesimal,related,feedback: 1 up / 0 down
math,integration,related,feedback: 1 up / 0 down
math,kinesiology,unrelated,feedback: 0 up / 1 down
math,knowledge,related,feedback: 1 up / 0 down
math,lain,unrelated,feedback: 0 up / 1 down
math,lecture,related,feedback: 1 up / 0 down
math,legerdemain,unrelated,feedback: 0 up / 1 down
math,levitation,unrelated,feedback: 0 up / 1 down
math,lied,unrelated,feedback: 0 up / 1 down
math,lies,unrelated,feedback: 0 up / 1 down
math,lores,unrelated,feedback: 0 up / 1 down
math,magician,unrelated,feedback: 0 up / 1 down
math,magnification,unrelated,feedback: 0 up / 1 down
math,mathematical,related,feedback: 1 up / 0 down
math,mathematician,related,feedback: 1 up / 0 down
math,maths,related,feedback: 1 up / 0 down
math,maze,unrelated,feedback: 0 up / 1 down
math,meditation,unrelated,feedback: 0 up / 1 down
math,mit,unrelated,feedback: 0 up / 1 down
math,monotonic,related,feedback: 1 up / 0 down
math,motivation,unrelated,feedback: 0 up / 1 down
math,multiplication,related,feedback: 1 up / 0 down
math,nerd,related,feedback: 1 up / 0 down
math,nine,related,feedback: 1 up / 0 down
math,notation,related,feedback: 1 up / 0 down
math,noun,unrelated,feedback: 0 up / 1 down
math,nth,related,feedback: 1 up / 0 down
math,nutrition,unrelated,feedback: 0 up / 1 down
math,observational,unrelated,feedback: 0 up / 1 down
math,occult,unrelated,feedback: 0 up / 1 down
math,odd,related,feedback: 1 up / 0 down
math,optimization,related,feedback: 1 up / 0 down
math,paleontology,unrelated,feedback: 0 up / 1 down
math,par,unrelated,feedback: 0 up / 1 down
math,permutation,related,feedback: 1 up / 0 down
math,perpendicular,related,feedback: 1 up / 0 down
math,phrase,unrelated,feedback: 0 up / 1 down
math,phrenology,unrelated,feedback: 0 up / 1 down
math,physiology,unrelated,feedback: 0 up / 1 down
math,pi,related,feedback: 1 up / 0 down
math,pies,unrelated,feedback: 0 up / 1 down
math,plot,related,feedback: 1 up / 0 down
math,plus,related,feedback: 1 up / 0 down
math,population,unrelated,feedback: 0 up / 1 down
math,precision,related,feedback: 1 up / 0 down
math,preposition,unrelated,feedback: 0 up / 1 down
math,prestidigitation,unrelated,feedback: 0 up / 1 down
math,prime,related,feedback: 1 up / 0 down
math,products,related,feedback: 1 up / 0 down
math,professor,related,feedback: 1 up / 0 down
math,psychobabble,unrelated,feedback: 0 up / 1 down
math,psychology,unrelated,feedback: 0 up / 1 down
math,punctuation,unrelated,feedback: 0 up / 1 down
math,quadratic,related,feedback: 1 up / 0 down
math,quadrillion,related,feedback: 1 up / 0 down
math,quantification,related,feedback: 1 up / 0 down
math,quintillions,related,feedback: 1 up / 0 down
math,quiz,related,feedback: 1 up / 0 down
math,radical,related,feedback: 1 up / 0 down
math,relational,unrelated,feedback: 0 up / 1 down
math,relaxation,unrelated,feedback: 0 up / 1 down
math,rhyme,unrelated,feedback: 0 up / 1 down
math,scholastic,related,feedback: 1 up / 0 down
math,scored,related,feedback: 1 up / 0 down
math,sequential,related,feedback: 1 up / 0 down
math,sine,related,feedback: 1 up / 0 down
math,sociology,unrelated,feedback: 0 up / 1 down
math,spell,unrelated,feedback: 0 up / 1 down
math,spelled,unrelated,feedback: 0 up / 1 down
math,sphere,related,feedback: 1 up / 0 down
math,stem,related,feedback: 1 up / 0 down
math,stochastic,related,feedback: 1 up / 0 down
math,summation,related,feedback: 1 up / 0 down
math,superstition,unrelated,feedback: 0 up / 1 down
math,symbology,unrelated,feedback: 0 up / 1 down
math,tangential,related,feedback: 1 up / 0 down
math,tarot,unrelated,feedback: 0 up / 1 down
math,taught,related,feedback: 1 up / 0 down
math,tautology,related,feedback: 1 up / 0 down
math,tax,unrelated,feedback: 0 up / 1 down
math,taxonomy,unrelated,feedback: 0 up / 1 down
math,technology,related,feedback: 1 up / 0 down
math,tenth,related,feedback: 1 up / 0 down
math,terminology,related,feedback: 1 up / 0 down
math,test,related,feedback: 1 up / 0 down
math,thematic,unrelated,feedback: 0 up / 1 down
math,theology,unrelated,feedback: 0 up / 1 down
math,theories,related,feedback: 1 up / 0 down
math,thought,related,feedback: 1 up / 0 down
math,topology,related,feedback: 1 up / 0 down
math,translation,unrelated,feedback: 0 up / 1 down
math,transportation,unrelated,feedback: 0 up / 1 down
math,trillion,related,feedback: 1 up / 0 down
math,trillions,related,feedback: 1 up / 0 down
math,trouble,unrelated,feedback: 0 up / 1 down
math,tutor,related,feedback: 1 up / 0 down
math,unification,unrelated,feedback: 0 up / 1 down
math,valuation,unrelated,feedback: 0 up / 1 down
math,whiz,related,feedback: 1 up / 0 down
math,zoology,unrelated,feedback: 0 up / 1 down
pirate,baroque,unrelated,feedback: 0 up / 1 down
pirate,bows,unrelated,feedback: 0 up / 1 down
pirate,cabled,unrelated,feedback: 0 up / 1 down
pirate,cabooses,unrelated,feedback: 0 up / 1 down
pirate,carouse,related,feedback: 1 up / 0 down
pirate,crackers,related,feedback: 1 up / 0 down
pirate,crank,unrelated,feedback: 0 up / 1 down
pirate,crocheted,unrelated,feedback: 0 up / 1 down
pirate,daggers,related,feedback: 1 up / 0 down
pirate,debauch,related,feedback: 1 up / 0 down
pirate,drill,unrelated,feedback: 0 up / 1 down
pirate,dwarf,unrelated,feedback: 0 up / 1 down
pirate,elves,unrelated,feedback: 0 up / 1 down
pirate,fang,unrelated,feedback: 0 up / 1 down
pirate,fleet,related,feedback: 1 up / 0 down
pirate,foursquare,unrelated,feedback: 0 up / 1 down
pirate,fourth,unrelated,feedback: 0 up / 1 down
pirate,fourths,unrelated,feedback: 0 up / 1 down
pirate,giraffes,unrelated,feedback: 0 up / 1 down
pirate,hackers,related,feedback: 1 up / 0 down
pirate,hood,unrelated,feedback: 0 up / 1 down
pirate,idle,unrelated,feedback: 0 up / 1 down
pirate,kazoo,unrelated,feedback: 0 up / 1 down
pirate,knight,unrelated,feedback: 0 up / 1 down
pirate,krill,unrelated,feedback: 0 up / 1 down
pirate,marguerite,related,feedback: 1 up / 0 down
pirate,masquerade,related,feedback: 1 up / 0 down
pirate,mastered,unrelated,feedback: 0 up / 1 down
pirate,moor,related,feedback: 1 up / 0 down
pirate,muse,unrelated,feedback: 0 up / 1 down
pirate,notch,unrelated,feedback: 0 up / 1 down
pirate,ouijas,unrelated,feedback: 0 up / 1 down
pirate,overwrite,unrelated,feedback: 0 up / 1 down
pirate,persona,unrelated,feedback: 0 up / 1 down
pirate,pooh,unrelated,feedback: 0 up / 1 down
pirate,procure,related,feedback: 1 up / 0 down
pirate,random,unrelated,feedback: 0 up / 1 down
pirate,ratchet,unrelated,feedback: 0 up / 1 down
pirate,rewrite,unrelated,feedback: 0 up / 1 down
pirate,rhyme,unrelated,feedback: 0 up / 1 down
pirate,saboteurs,related,feedback: 1 up / 0 down
pirate,serial,unrelated,feedback: 0 up / 1 down
pirate,skulduggery,related,feedback: 1 up / 0 down
pirate,sneak,related,feedback: 1 up / 0 down
pirate,solitaire,unrelated,feedback: 0 up / 1 down
pirate,spliced,unrelated,feedback: 0 up / 1 down
pirate,sprite,unrelated,feedback: 0 up / 1 down
pirate,stereophonic,unrelated,feedback: 0 up / 1 down
pirate,stuart,unrelated,feedback: 0 up / 1 down
pirate,tidal,related,feedback: 1 up / 0 down
pirate,unique,unrelated,feedback: 0 up / 1 down
pirate,version,unrelated,feedback: 0 up / 1 down
games,activity,related,feedback: 1 up / 0 down
games,affair,unrelated,feedback: 0 up / 1 down
games,ass,unrelated,feedback: 0 up / 1 down
games,baccarat,related,feedback: 1 up / 0 down
games,ball,related,feedback: 1 up / 0 down
games,ballot,unrelated,feedback: 0 up / 1 down
games,beating,related,feedback: 1 up / 0 down
games,beginnings,unrelated,feedback: 0 up / 1 down
games,bet,related,feedback: 1 up / 0 down
games,big,unrelated,feedback: 0 up / 1 down
games,bluff,related,feedback: 1 up / 0 down
games,bout,related,feedback: 1 up / 0 down
games,bowl,related,feedback: 1 up / 0 down
games,card,related,feedback: 1 up / 0 down
games,casino,related,feedback: 1 up / 0 down
games,cheating,related,feedback: 1 up / 0 down
games,chess,related,feedback: 1 up / 0 down
games,comes,unrelated,feedback: 0 up / 1 down
games,competing,related,feedback: 1 up / 0 down
games,computer,related,feedback: 1 up / 0 down
games,concede,related,feedback: 1 up / 0 down
games,conceding,related,feedback: 1 up / 0 down
games,console,related,feedback: 1 up / 0 down
games,contests,related,feedback: 1 up / 0 down
games,controller,related,feedback: 1 up / 0 down
games,courting,unrelated,feedback: 0 up / 1 down
games,defeating,related,feedback: 1 up / 0 down
games,denouement,unrelated,feedback: 0 up / 1 down
games,faction,unrelated,feedback: 0 up / 1 down
games,fair,related,feedback: 1 up / 0 down
games,festivity,related,feedback: 1 up / 0 down
games,finesse,related,feedback: 1 up / 0 down
games,fortissimo,unrelated,feedback: 0 up / 1 down
games,foursquare,related,feedback: 1 up / 0 down
games,geno,unrelated,feedback: 0 up / 1 down
games,gin,related,feedback: 1 up / 0 down
games,goal,related,feedback: 1 up / 0 down
games,harp,unrelated,feedback: 0 up / 1 down
games,innings,related,feedback: 1 up / 0 down
games,jig,unrelated,feedback: 0 up / 1 down
games,lacrosse,related,feedback: 1 up / 0 down
games,level,related,feedback: 1 up / 0 down
games,loss,related,feedback: 1 up / 0 down
games,lost,related,feedback: 1 up / 0 down
games,loster,unrelated,feedback: 0 up / 1 down
games,lotto,related,feedback: 1 up / 0 down
games,maths,unrelated,feedback: 0 up / 1 down
games,merci,unrelated,feedback: 0 up / 1 down
games,met,unrelated,feedback: 0 up / 1 down
games,muff,unrelated,feedback: 0 up / 1 down
games,odds,related,feedback: 1 up / 0 down
games,pianissimo,unrelated,feedback: 0 up / 1 down
games,pizzicato,unrelated,feedback: 0 up / 1 down
games,playoff,related,feedback: 1 up / 0 down
games,ploy,unrelated,feedback: 0 up / 1 down
games,poll,unrelated,feedback: 0 up / 1 down
games,recording,unrelated,feedback: 0 up / 1 down
games,referee,related,feedback: 1 up / 0 down
games,rival,related,feedback: 1 up / 0 down
games,roulette,related,feedback: 1 up / 0 down
games,round,related,feedback: 1 up / 0 down
games,ruff,related,feedback: 1 up / 0 down
games,score,related,feedback: 1 up / 0 down
games,scores,related,feedback: 1 up / 0 down
games,script,unrelated,feedback: 0 up / 1 down
games,shooter,related,feedback: 1 up / 0 down
games,sieges,unrelated,feedback: 0 up / 1 down
games,solitaire,related,feedback: 1 up / 0 down
games,spinner,related,feedback: 1 up / 0 down
games,spores,unrelated,feedback: 0 up / 1 down
games,sporting,related,feedback: 1 up / 0 down
games,steam,related,feedback: 1 up / 0 down
games,stores,related,feedback: 1 up / 0 down
games,subtraction,unrelated,feedback: 0 up / 1 down
games,survival,related,feedback: 1 up / 0 down
games,team,related,feedback: 1 up / 0 down
games,trump,related,feedback: 1 up / 0 down
games,wads,unrelated,feedback: 0 up / 1 down
games,whist,related,feedback: 1 up / 0 down
games,win,related,feedback: 1 up / 0 down
games,winner,related,feedback: 1 up / 0 down
games,word,related,feedback: 1 up / 0 down
cajun,abalone,unrelated,feedback: 0 up / 1 down
cajun,arcadian,related,feedback: 1 up / 0 down
cajun,baguette,related,feedback: 1 up / 0 down
cajun,belle,related,feedback: 1 up / 0 down
cajun,bleu,related,feedback: 1 up / 0 down
cajun,bouillabaisse,related,feedback: 1 up / 0 down
cajun,brahmin,unrelated,feedback: 0 up / 1 down
cajun,broth,related,feedback: 1 up / 0 down
cajun,calzone,unrelated,feedback: 0 up / 1 down
cajun,cayenne,related,feedback: 1 up / 0 down
cajun,creamy,related,feedback: 1 up / 0 down
cajun,critter,related,feedback: 1 up / 0 down
cajun,falafel,unrelated,feedback: 0 up / 1 down
cajun,flavor,related,feedback: 1 up / 0 down
cajun,fried,related,feedback: 1 up / 0 down
cajun,fry,related,feedback: 1 up / 0 down
cajun,geese,unrelated,feedback: 0 up / 1 down
cajun,gumbo,related,feedback: 1 up / 0 down
cajun,haitians,related,feedback: 1 up / 0 down
cajun,italian,unrelated,feedback: 0 up / 1 down
cajun,orleans,related,feedback: 1 up / 0 down
cajun,raconteurs,related,feedback: 1 up / 0 down
cajun,shillelaghs,unrelated,feedback: 0 up / 1 down
cajun,smoky,related,feedback: 1 up / 0 down
cajun,spice,related,feedback: 1 up / 0 down
cajun,strudel,unrelated,feedback: 0 up / 1 down
cajun,swamp,related,feedback: 1 up / 0 down
cajun,tasty,related,feedback: 1 up / 0 down
cajun,teriyaki,unrelated,feedback: 0 up / 1 down
cajun,thais,unrelated,feedback: 0 up / 1 down
cajun,tikka,unrelated,feedback: 0 up / 1 down
cajun,vindaloo,unrelated,feedback: 0 up / 1 down
cajun,voodoo,related,feedback: 1 up / 0 down
cajun,waffle,unrelated,feedback: 0 up / 1 down
computer,abbreviation,unrelated,feedback: 0 up / 1 down
computer,accommodation,unrelated,feedback: 0 up / 1 down
computer,accumulation,unrelated,feedback: 0 up / 1 down
computer,acquaint,unrelated,feedback: 0 up / 1 down
computer,adjudication,unrelated,feedback: 0 up / 1 down
computer,alteration,unrelated,feedback: 0 up / 1 down
computer,amortization,unrelated,feedback: 0 up / 1 down
computer,amplification,unrelated,feedback: 0 up / 1 down
computer,anesthesiologists,unrelated,feedback: 0 up / 1 down
computer,animation,related,feedback: 1 up / 0 down
computer,anticipation,unrelated,feedback: 0 up / 1 down
computer,antiquarian,unrelated,feedback: 0 up / 1 down
computer,antique,unrelated,feedback: 0 up / 1 down
computer,apace,unrelated,feedback: 0 up / 1 down
computer,approximation,unrelated,feedback: 0 up / 1 down
computer,assign,unrelated,feedback: 0 up / 1 down
computer,assignation,unrelated,feedback: 0 up / 1 down
computer,auscultation,unrelated,feedback: 0 up / 1 down
computer,automation,related,feedback: 1 up / 0 down
computer,autonomic,related,feedback: 1 up / 0 down
computer,backboard,unrelated,feedback: 0 up / 1 down
computer,bedroom,unrelated,feedback: 0 up / 1 down
computer,blackboard,unrelated,feedback: 0 up / 1 down
computer,calculation,related,feedback: 1 up / 0 down
computer,capitalization,unrelated,feedback: 0 up / 1 down
computer,cartographic,unrelated,feedback: 0 up / 1 down
computer,case,related,feedback: 1 up / 0 down
computer,casino,unrelated,feedback: 0 up / 1 down
computer,cell,unrelated,feedback: 0 up / 1 down
computer,cheese,unrelated,feedback: 0 up / 1 down
computer,chess,related,feedback: 1 up / 0 down
computer,choreographer,unrelated,feedback: 0 up / 1 down
computer,chores,unrelated,feedback: 0 up / 1 down
computer,clerk,unrelated,feedback: 0 up / 1 down
computer,clipper,unrelated,feedback: 0 up / 1 down
computer,code,related,feedback: 1 up / 0 down
computer,collage,unrelated,feedback: 0 up / 1 down
computer,collation,unrelated,feedback: 0 up / 1 down
computer,combination,unrelated,feedback: 0 up / 1 down
computer,commutation,unrelated,feedback: 0 up / 1 down
computer,compilation,related,feedback: 1 up / 0 down
computer,compile,related,feedback: 1 up / 0 down
computer,compilers,related,feedback: 1 up / 0 down
computer,computation,related,feedback: 1 up / 0 down
computer,concentration,unrelated,feedback: 0 up / 1 down
computer,condensation,unrelated,feedback: 0 up / 1 down
computer,consideration,unrelated,feedback: 0 up / 1 down
computer,consolidation,unrelated,feedback: 0 up / 1 down
computer,conversation,unrelated,feedback: 0 up / 1 down
computer,cores,related,feedback: 1 up / 0 down
computer,correlation,unrelated,feedback: 0 up / 1 down
computer,cut,unrelated,feedback: 0 up / 1 down
computer,data,related,feedback: 1 up / 0 down
computer,deletion,related,feedback: 1 up / 0 down
computer,dell,related,feedback: 1 up / 0 down
computer,demonstration,unrelated,feedback: 0 up / 1 down
computer,designation,unrelated,feedback: 0 up / 1 down
computer,destination,unrelated,feedback: 0 up / 1 down
computer,determination,unrelated,feedback: 0 up / 1 down
computer,dialysis,unrelated,feedback: 0 up / 1 down
computer,dissembling,unrelated,feedback: 0 up / 1 down
computer,dissertation,unrelated,feedback: 0 up / 1 down
computer,domination,unrelated,feedback: 0 up / 1 down
computer,drawers,unrelated,feedback: 0 up / 1 down
computer,dresser,unrelated,feedback: 0 up / 1 down
computer,drum,unrelated,feedback: 0 up / 1 down
computer,echolocation,unrelated,feedback: 0 up / 1 down
computer,economic,unrelated,feedback: 0 up / 1 down
computer,edification,unrelated,feedback: 0 up / 1 down
computer,elaboration,unrelated,feedback: 0 up / 1 down
computer,electrolytic,unrelated,feedback: 0 up / 1 down
computer,elimination,unrelated,feedback: 0 up / 1 down
computer,elocutions,unrelated,feedback: 0 up / 1 down
computer,embarkation,unrelated,feedback: 0 up / 1 down
computer,emulation,related,feedback: 1 up / 0 down
computer,excel,related,feedback: 1 up / 0 down
computer,excitation,unrelated,feedback: 0 up / 1 down
computer,experimentation,unrelated,feedback: 0 up / 1 down
computer,exploitation,unrelated,feedback: 0 up / 1 down
computer,extrapolation,unrelated,feedback: 0 up / 1 down
computer,falsification,unrelated,feedback: 0 up / 1 down
computer,fibrillation,unrelated,feedback: 0 up / 1 down
computer,file,related,feedback: 1 up / 0 down
computer,filtration,unrelated,feedback: 0 up / 1 down
computer,fixation,unrelated,feedback: 0 up / 1 down
computer,floors,unrelated,feedback: 0 up / 1 down
computer,floppy,related,feedback: 1 up / 0 down
computer,fluctuation,unrelated,feedback: 0 up / 1 down
computer,geek,related,feedback: 1 up / 0 down
computer,generalization,unrelated,feedback: 0 up / 1 down
computer,geographer,unrelated,feedback: 0 up / 1 down
computer,geographic,unrelated,feedback: 0 up / 1 down
computer,graduation,unrelated,feedback: 0 up / 1 down
computer,guesser,unrelated,feedback: 0 up / 1 down
computer,guitar,unrelated,feedback: 0 up / 1 down
computer,hibernation,unrelated,feedback: 0 up / 1 down
computer,identification,unrelated,feedback: 0 up / 1 down
computer,implementation,related,feedback: 1 up / 0 down
computer,information,related,feedback: 1 up / 0 down
computer,ink,unrelated,feedback: 0 up / 1 down
computer,installation,related,feedback: 1 up / 0 down
computer,interpolation,unrelated,feedback: 0 up / 1 down
computer,interrogation,unrelated,feedback: 0 up / 1 down
computer,intimidation,unrelated,feedback: 0 up / 1 down
computer,introduce,unrelated,feedback: 0 up / 1 down
computer,investigation,unrelated,feedback: 0 up / 1 down
computer,lab,related,feedback: 1 up / 0 down
computer,load,related,feedback: 1 up / 0 down
computer,location,unrelated,feedback: 0 up / 1 down
computer,lubrication,unrelated,feedback: 0 up / 1 down
computer,magnification,unrelated,feedback: 0 up / 1 down
computer,masseuse,unrelated,feedback: 0 up / 1 down
computer,masturbation,unrelated,feedback: 0 up / 1 down
computer,maximization,unrelated,feedback: 0 up / 1 down
computer,mechanization,related,feedback: 1 up / 0 down
computer,miniaturization,related,feedback: 1 up / 0 down
computer,misplace,unrelated,feedback: 0 up / 1 down
computer,misspell,unrelated,feedback: 0 up / 1 down
computer,modification,unrelated,feedback: 0 up / 1 down
computer,modulation,unrelated,feedback: 0 up / 1 down
computer,montage,unrelated,feedback: 0 up / 1 down
computer,motel,unrelated,feedback: 0 up / 1 down
computer,mousse,unrelated,feedback: 0 up / 1 down
computer,oceanographer,unrelated,feedback: 0 up / 1 down
computer,oceanographic,unrelated,feedback: 0 up / 1 down
computer,orthopedist,unrelated,feedback: 0 up / 1 down
computer,parasitic,unrelated,feedback: 0 up / 1 down
computer,permutation,unrelated,feedback: 0 up / 1 down
computer,perspiration,unrelated,feedback: 0 up / 1 down
computer,pinning,unrelated,feedback: 0 up / 1 down
computer,plants,unrelated,feedback: 0 up / 1 down
computer,popularization,unrelated,feedback: 0 up / 1 down
computer,portals,unrelated,feedback: 0 up / 1 down
computer,portmanteau,unrelated,feedback: 0 up / 1 down
computer,precipitation,unrelated,feedback: 0 up / 1 down
computer,preference,unrelated,feedback: 0 up / 1 down
computer,preparation,unrelated,feedback: 0 up / 1 down
computer,prestidigitation,unrelated,feedback: 0 up / 1 down
computer,propagation,unrelated,feedback: 0 up / 1 down
computer,pseudoscientific,unrelated,feedback: 0 up / 1 down
computer,psychokinesis,unrelated,feedback: 0 up / 1 down
computer,pulsation,unrelated,feedback: 0 up / 1 down
computer,punctuation,unrelated,feedback: 0 up / 1 down
computer,qualification,unrelated,feedback: 0 up / 1 down
computer,racer,unrelated,feedback: 0 up / 1 down
computer,radiation,unrelated,feedback: 0 up / 1 down
computer,realization,unrelated,feedback: 0 up / 1 down
computer,recitation,unrelated,feedback: 0 up / 1 down
computer,reconciliation,unrelated,feedback: 0 up / 1 down
computer,remediation,unrelated,feedback: 0 up / 1 down
computer,rental,unrelated,feedback: 0 up / 1 down
computer,replication,unrelated,feedback: 0 up / 1 down
computer,repossessed,unrelated,feedback: 0 up / 1 down
computer,reproduce,unrelated,feedback: 0 up / 1 down
computer,retarding,unrelated,feedback: 0 up / 1 down
computer,retentive,unrelated,feedback: 0 up / 1 down
computer,reverberation,unrelated,feedback: 0 up / 1 down
computer,rpm,unrelated,feedback: 0 up / 1 down
computer,scanner,related,feedback: 1 up / 0 down
computer,scientific,related,feedback: 1 up / 0 down
computer,secretarial,unrelated,feedback: 0 up / 1 down
computer,settees,unrelated,feedback: 0 up / 1 down
computer,shoe,unrelated,feedback: 0 up / 1 down
computer,sim,related,feedback: 1 up / 0 down
computer,slating,unrelated,feedback: 0 up / 1 down
computer,smartass,unrelated,feedback: 0 up / 1 down
computer,specific,unrelated,feedback: 0 up / 1 down
computer,station,unrelated,feedback: 0 up / 1 down
computer,stenographic,unrelated,feedback: 0 up / 1 down
computer,summation,unrelated,feedback: 0 up / 1 down
computer,superimpose,unrelated,feedback: 0 up / 1 down
computer,surveyed,unrelated,feedback: 0 up / 1 down
computer,tab,unrelated,feedback: 0 up / 1 down
computer,tactical,unrelated,feedback: 0 up / 1 down
computer,tambourine,unrelated,feedback: 0 up / 1 down
computer,telekinesis,unrelated,feedback: 0 up / 1 down
computer,teller,unrelated,feedback: 0 up / 1 down
